obsid,ucdpid,dyadid,country,acr,side_b,byear,eyear,transconstsupp,rebextpart,rtypesup,foreign_f,b_neigh,ff_coethnic,actorid,islmgenpct,religious_nonislamist,secular_nonleft,noideol,nonnationalist,cowcode,rebestimate,rebstrength,strengthcent,mobcap,terrcont,length,year,best_fatality,low_fatality,region,territorial,intensity,govtbestfatal,loot,countrycode,pop_dens,gdp_cap,gdp_cap_gr,ethnic,islamist_nsa,secessionist,communist,foreign_territory,rebelsupport,fatality_lag,govtbestfatal_ln,pop_dens_ln,gdp_cap_ln,rebestimate_ln,islamist,forced_recruit,leftist,nationalist,fatality_lag_ln,ff_type
NSA.3.4-1453,191,1,Algeria,ALG,FIS,1992,1997,explicit,alleged,military,0,0,0,1389,0.99000001,0,0,0,1,615,12500,2,2,0,0,6,1992,0,0,,0,0,0,0,DZA,11.412211,3403.903452,-.547389546,0,0,0,0,1,0,,0,2.434684,8.132678,9.4334841,1,1,0,0,,0
NSA.3.4-1453,191,1,Algeria,ALG,FIS,1992,1997,explicit,alleged,military,0,0,0,1389,0.99000001,0,0,0,1,615,12500,2,2,0,0,6,1993,0,0,,0,0,0,0,DZA,11.666251,3259.84368,-4.232193259,0,0,0,0,1,0,0,0,2.4567001,8.0894346,9.4334841,1,1,0,0,0,0
NSA.3.4-1453,191,1,Algeria,ALG,FIS,1992,1997,explicit,alleged,military,0,0,0,1389,0.99000001,0,0,0,1,615,12500,2,2,0,0,6,1994,0,0,,0,1,0,0,DZA,11.908107,3164.898577,-2.912566121,0,0,0,0,1,0,0,0,2.4772193,8.0598764,9.4334841,1,1,0,0,0,0
NSA.3.4-1453,191,1,Algeria,ALG,FIS,1992,1997,explicit,alleged,military,0,0,0,1389,0.99000001,0,0,0,1,615,12500,2,2,0,0,6,1995,0,0,,0,0,0,0,DZA,12.135792,3223.55756,1.853423793,0,0,0,0,1,0,0,0,2.4961591,8.0782404,9.4334841,1,1,0,0,0,0
NSA.3.4-1453,191,1,Algeria,ALG,FIS,1992,1997,explicit,alleged,military,0,0,0,1389,0.99000001,0,0,0,1,615,12500,2,2,0,0,6,1996,0,0,,0,0,0,0,DZA,12.348887,3297.863375,2.305087245,0,0,0,0,1,0,0,0,2.513566,8.1010303,9.4334841,1,1,0,0,0,0
NSA.3.4-1453,191,1,Algeria,ALG,FIS,1992,1997,explicit,alleged,military,0,0,0,1389,0.99000001,0,0,0,1,615,12500,2,2,0,0,6,1997,0,0,,0,0,0,0,DZA,12.54869,3281.102139,-.508245296,0,0,0,0,1,0,0,0,2.5296164,8.0959349,9.4334841,1,1,0,0,0,0
NSA.3.4-1456,191,2,Algeria,ALG,Exile and Redemption,1990,1991,tacit,no,NA,0,0,0,1388,0.964999974,0,0,0,1,615,,1,,1,0,2,1990,0,0,,1,0,0,0,DZA,10.879594,3550.032672,-1.746785531,0,0,0,0,0,0,0,0,2.386889,8.1747122,,1,1,0,0,0,0
NSA.3.4-1456,191,2,Algeria,ALG,Exile and Redemption,1990,1991,tacit,no,NA,0,0,0,1388,0.964999974,0,0,0,1,615,,1,,1,0,2,1991,0,0,,0,0,0,0,DZA,11.149108,3422.638618,-3.588531856,0,0,0,0,0,0,0,0,2.4113595,8.1381674,,1,1,0,0,0,0
NSA.3.4-1459,191,3,Algeria,ALG,GIA,1993,2003,tacit,alleged,military,1,0,0,1390,0.964999974,0,0,0,1,615,1525,1,1,1,0,11,1993,26,26,4,0,0,0,0,DZA,11.666251,3259.84368,-4.232193259,0,0,0,0,1,1,0,0,2.4567001,8.0894346,7.3297496,1,1,0,0,0,4
NSA.3.4-1459,191,3,Algeria,ALG,GIA,1993,2003,tacit,alleged,military,1,0,0,1390,0.964999974,0,0,0,1,615,1525,1,1,1,0,11,1994,0,0,,0,0,0,0,DZA,11.908107,3164.898577,-2.912566121,0,0,0,0,1,1,26,0,2.4772193,8.0598764,7.3297496,1,1,0,0,3.2958369,4
